State,Year,emission_value_mlns,energy_value
HI,2013,0.5912930907153878,18072
HI,2014,0.5556977605336823,18386
HI,2015,0.48626033702547317,19136
HI,2016,0.2840335199312875,21032
HI,2017,0.2881174481003816,19114
HI,2018,0.2940600396831751,18927
HI,2019,0.2735874845845136,18371
HI,2020,0.2441504861850868,18382
HI,2021,0.25377434454330833,20134
HI,2022,0.24807613949463958,20472
HI,2023,0.227093226933294,21046
IA,2002,2.7213209249485764,72597
IA,2003,2.684344339722558,81766
IA,2004,2.5004618436230768,98089
IA,2005,2.466858951464612,107696
IA,2006,2.3021710444631336,121843
IA,2007,2.2849353844109963,152785
IA,2008,2.156213968615202,181599
IA,2009,2.0465794577814416,236140
IA,2010,2.013388155443952,270864
IA,2011,2.00026610621954,280134
IA,2012,1.9789314321086409,280226
IA,2013,1.8621856661521536,289683
IA,2014,1.760423632921424,301847
IA,2015,1.7009629153162753,318378
IA,2016,1.7246744767847095,330156
IA,2017,1.7559252355632937,342722
IA,2018,1.8333673939141613,351235
IA,2019,1.6725205103170333,369139
IA,2020,1.5795470753207363,366009
IA,2021,1.589471523058512,389786
IA,2022,1.52900893120051,421784
IA,2023,1.5167726869660634,414801
ID,2002,1.5182403026946054,53899
ID,2003,2.8543989570139487,52788
ID,2004,1.7079658714697428,56199
ID,2005,2.617906276580975,65999
ID,2006,2.7171016847321785,73412
ID,2007,4.702368102322994,67904
ID,2008,1.7087786200306618,70653
ID,2009,1.3915369423816433,67560
ID,2010,1.6418942524266917,70911
ID,2011,1.6570063970886382,84605
ID,2012,3.3273982520815713,77804
ID,2013,1.9705148977287397,73262
ID,2014,1.6221753471908575,83266
ID,2015,3.162280448425002,88708
ID,2016,2.5694647634577725,84815
ID,2017,2.798328154758292,94430
ID,2018,2.1039357038783297,98338
ID,2019,1.8393878023080845,96733
ID,2020,2.0210846310637893,79774
ID,2021,3.514704169211144,74428
ID,2022,2.967142524501666,78405
ID,2023,1.5846350085302376,77127
IL,2002,6.365628743601973,110651
IL,2003,6.2176012628995965,125968
IL,2004,5.854723482843997,124957
IL,2005,5.722499911876147,107676
IL,2006,5.256092834935181,105735
IL,2007,5.044383543791003,124354
IL,2008,4.759768230791955,143612
IL,2009,4.403340449548987,166254
IL,2010,4.419831222152601,186339
IL,2011,4.211460969138484,190559
IL,2012,4.152332103895883,191114
IL,2013,3.8443369462265147,205035
IL,2014,3.7324004458852014,211286
IL,2015,3.5430339917926603,201991
IL,2016,3.389747839960246,209408
IL,2017,3.3666260094112346,210460
IL,2018,3.3685349447048587,204321
IL,2019,3.2073195864178468,208688
IL,2020,2.603231154291954,207643
IL,2021,2.6075287541650285,224107
IL,2022,2.583422236351099,248541
IL,2023,2.5271682356117013,245703
IN,2002,5.365488369527118,52540
IN,2003,5.223496637859781,54636
IN,2004,4.891158793558112,55136
IN,2005,4.758600011390785,60876
IN,2006,4.368798653721316,52230
IN,2007,4.0365638390323575,64448
IN,2008,3.7408268374288367,94752
IN,2009,3.300961369540973,106357
IN,2010,3.356512021809448,126617
IN,2011,3.123338378672919,132120
IN,2012,2.959616016892624,121990
IN,2013,2.7940838874042138,133882
IN,2014,2.827071461693245,138400
IN,2015,2.4863218163176075,143593
IN,2016,2.2509939639581744,151702
IN,2017,2.1107474565584523,151217
IN,2018,2.138458031604278,155713
IN,2019,2.052196450838321,149685
IN,2020,1.9017675785421568,139423
IN,2021,1.9530372358458146,157325
IN,2022,1.9094080367926065,170987
IN,2023,1.8606151863345788,172891
KS,2002,3.2715185789181316,16309
KS,2003,3.5557135140065323,19369
KS,2004,3.237520679816126,17104
KS,2005,3.7143073632508963,20056
KS,2006,3.123353681517532,21760
KS,2007,2.8059768419719195,28456
KS,2008,3.185321995046604,46651
KS,2009,3.020580398180461,48230
KS,2010,2.8236252351156943,53424
KS,2011,3.4832922291686823,57429
KS,2012,2.490165116633969,57857
KS,2013,2.2212645646000326,74687
KS,2014,2.6389290912317795,85169
KS,2015,2.3903166208940685,84689
KS,2016,3.1294817770539862,96475
KS,2017,3.0666076944500804,111662
KS,2018,2.4653326420605643,114767
KS,2019,2.5066393833638556,122904
KS,2020,2.23288102058625,129820
KS,2021,2.308403636462543,135550
KS,2022,2.1556715198433705,151788
KS,2023,2.1054434639338866,140268
KY,2002,3.4258780480279984,37851
KY,2003,3.3457710583226903,43994
KY,2004,3.156520359812747,46200
KY,2005,3.1809542541767772,55142
KY,2006,2.9543447540980416,52969
KY,2007,2.795544233499842,54714
KY,2008,2.560881885295044,58865
KY,2009,2.326201879996672,63701
KY,2010,2.412235529624077,67918
KY,2011,2.133324558742334,70948
KY,2012,2.073525913469965,65400
KY,2013,1.9536253271330049,75844
KY,2014,1.9518103974825978,77063
KY,2015,1.734465918552611,69302
KY,2016,2.0442320639563722,71524
KY,2017,1.6356272107237855,77592
KY,2018,1.5993829928188847,78493
KY,2019,1.5333676655395267,78257
KY,2020,1.4487252808348925,69134
KY,2021,1.5122829308098378,71743
KY,2022,1.6594311000694744,77516
KY,2023,1.65637932751675,72603
LA,2002,3.717760143242664,138091
LA,2003,4.0474252868666305,146640
LA,2004,3.940533832407576,182508
LA,2005,4.040941644125374,146488
LA,2006,3.706565165824143,145994
LA,2007,3.295794363558007,146531
LA,2008,3.367991887174889,107783
LA,2009,3.066186476253913,111298
LA,2010,3.4245037602934536,127337
LA,2011,3.331841128313851,128235
LA,2012,2.9831169024653454,125781
LA,2013,2.9235357164260747,143622
LA,2014,2.706723532377961,165772
