Year,State,Category,Type,Vehicles
1902,Arizona,Truck,,0
1902,Arizona,Motorcycle,,0
1902,Arkansas,Auto,,70
1902,Arkansas,Bus,,0
1902,Arkansas,Truck,,0
1902,Arkansas,Motorcycle,,0
1902,California,Auto,,2290
1902,California,Bus,,0
1902,California,Truck,,0
1902,California,Motorcycle,,0
1902,Colorado,Auto,,240
1902,Colorado,Bus,,0
1902,Colorado,Truck,,0
1902,Colorado,Motorcycle,,0
1902,Connecticut,Auto,,470
1902,Connecticut,Bus,,0
1902,Connecticut,Truck,,0
1902,Connecticut,Motorcycle,,0
1902,Delaware,Auto,,60
1902,Delaware,Bus,,0
1902,Delaware,Truck,,0
1902,Delaware,Motorcycle,,0
1902,District of Columbia,Auto,,300
1902,District of Columbia,Bus,,0
1902,District of Columbia,Truck,,0
1902,District of Columbia,Motorcycle,,0
1902,Florida,Auto,,30
1902,Florida,Bus,,0
1902,Florida,Truck,,0
1902,Florida,Motorcycle,,0
1902,Georgia,Auto,,230
1902,Georgia,Bus,,0
1902,Georgia,Truck,,0
1902,Georgia,Motorcycle,,0
1902,Hawaii,Auto,,0
1902,Hawaii,Bus,,0
1902,Hawaii,Truck,,0
1902,Hawaii,Motorcycle,,0
1902,Idaho,Auto,,20
1902,Idaho,Bus,,0
1902,Idaho,Truck,,0
1902,Idaho,Motorcycle,,0
1902,Illinois,Auto,,1770
1902,Illinois,Bus,,0
1902,Illinois,Truck,,0
1902,Illinois,Motorcycle,,0
1902,Indiana,Auto,,500
1902,Indiana,Bus,,0
1902,Indiana,Truck,,0
1902,Indiana,Motorcycle,,0
1902,Iowa,Auto,,80
1902,Iowa,Bus,,0
1902,Iowa,Truck,,0
1902,Iowa,Motorcycle,,0
1902,Kansas,Auto,,580
1902,Kansas,Bus,,0
1902,Kansas,Truck,,0
1902,Kansas,Motorcycle,,0
1902,Kentucky,Auto,,130
1902,Kentucky,Bus,,0
1902,Kentucky,Truck,,0
1902,Kentucky,Motorcycle,,0
1902,Louisiana,Auto,,190
1902,Louisiana,Bus,,0
1902,Louisiana,Truck,,0
1902,Louisiana,Motorcycle,,0
1902,Maine,Auto,,210
1902,Maine,Bus,,0
1902,Maine,Truck,,0
1902,Maine,Motorcycle,,0
1902,Maryland,Auto,,250
1902,Maryland,Bus,,0
1902,Maryland,Truck,,0
1902,Maryland,Motorcycle,,0
1902,Massachusetts,Auto,,1730
1902,Massachusetts,Bus,,0
1902,Massachusetts,Truck,,0
1902,Massachusetts,Motorcycle,,0
1902,Michigan,Auto,,1040
1902,Michigan,Bus,,0
1902,Michigan,Truck,,0
1902,Michigan,Motorcycle,,0
1902,Minnesota,Auto,,760
1902,Minnesota,Bus,,0
1902,Minnesota,Truck,,0
1902,Minnesota,Motorcycle,,0
1902,Mississippi,Auto,,70
1902,Mississippi,Bus,,0
1902,Mississippi,Truck,,0
1902,Mississippi,Motorcycle,,0
1902,Missouri,Auto,,530
1902,Missouri,Bus,,0
1902,Missouri,Truck,,0
1902,Missouri,Motorcycle,,0
1902,Montana,Auto,,60
1902,Montana,Bus,,0
1902,Montana,Truck,,0
1902,Montana,Motorcycle,,0
1902,Nebraska,Auto,,188
1902,Nebraska,Bus,,0
1902,Nebraska,Truck,,0
1902,Nebraska,Motorcycle,,0
1902,Nevada,Auto,,20
1902,Nevada,Bus,,0
1902,Nevada,Truck,,0
1902,Nevada,Motorcycle,,0
1902,New Hampshire,Auto,,150
1902,New Hampshire,Bus,,0
1902,New Hampshire,Truck,,0
1902,New Hampshire,Motorcycle,,0
1902,New Jersey,Auto,,930
1902,New Jersey,Bus,,0
1902,New Jersey,Truck,,0
1902,New Jersey,Motorcycle,,0
1902,New Mexico,Auto,,20
1902,New Mexico,Bus,,0
1902,New Mexico,Truck,,0
1902,New Mexico,Motorcycle,,0
1902,New York,Auto,,1082
1902,New York,Bus,,0
1902,New York,Truck,,0
1902,New York,Motorcycle,,0
