State,NAME,Year,Energy,value,INTPTLAT,INTPTLON
LA,Louisiana,2009,Solar,80,30.708319,-91.6046207
MA,Massachusetts,2009,Solar,317,42.1565196,-71.4895915
MD,Maryland,2009,Solar,110,38.9466584,-76.6744939
ME,Maine,2009,Solar,127,45.4092843,-68.666616
MI,Michigan,2009,Solar,428,44.8441768,-85.6604907
MN,Minnesota,2009,Solar,188,46.3159573,-94.1996043
MO,Missouri,2009,Solar,28,38.3507508,-92.456782
MS,Mississippi,2009,Solar,12,32.6864714,-89.6561377
MT,Montana,2009,Solar,16,47.051177,-109.6348174
NC,North Carolina,2009,Solar,267,35.53971,-79.1308636
ND,North Dakota,2009,Solar,4,47.442174,-100.4608258
NE,Nebraska,2009,Solar,25,41.543305,-99.8118641
NH,New Hampshire,2009,Solar,64,43.6727945,-71.5841886
NJ,New Jersey,2009,Solar,2113,40.1072744,-74.6652012
NM,New Mexico,2009,Solar,185,34.4346844,-106.131618
NV,Nevada,2009,Solar,1569,39.3310928,-116.6151469
NY,New York,2009,Solar,1248,42.9133974,-75.5962723
OH,Ohio,2009,Solar,239,40.4149297,-82.7119975
OK,Oklahoma,2009,Solar,24,35.5900815,-97.4867789
OR,Oregon,2009,Solar,1242,43.9717125,-120.6229578
PA,Pennsylvania,2009,Solar,666,40.9046042,-77.8275233
RI,Rhode Island,2009,Solar,45,41.596485,-71.5264901
SC,South Carolina,2009,Solar,31,33.8741776,-80.8542639
SD,South Dakota,2009,Solar,5,44.4467957,-100.2381762
TN,Tennessee,2009,Solar,27,35.85846,-86.3496339
TX,Texas,2009,Solar,542,31.4347032,-99.2818238
UT,Utah,2009,Solar,53,39.3349925,-111.6563326
VA,Virginia,2009,Solar,460,37.5222512,-78.6681938
VT,Vermont,2009,Solar,85,44.0589536,-72.6710173
WA,Washington,2009,Solar,113,47.4073238,-120.5757999
WI,Wisconsin,2009,Solar,223,44.6309071,-89.7093916
WV,West Virginia,2009,Solar,44,38.6472854,-80.6183274
WY,Wyoming,2009,Solar,2,42.9896591,-107.5443922
AK,Alaska,2010,Solar,3,63.347356,-152.8397334
AL,Alabama,2010,Solar,65,32.7395785,-86.8434469
AR,Arkansas,2010,Solar,65,34.8955256,-92.4446262
AZ,Arizona,2010,Solar,3436,34.2039362,-111.6063449
CA,California,2010,Solar,22602,37.1551773,-119.5434183
CO,Colorado,2010,Solar,775,38.9937669,-105.5087122
CT,Connecticut,2010,Solar,933,41.5798637,-72.7466572
DC,District of Columbia,2010,Solar,27,38.9042429,-77.0165243
DE,Delaware,2010,Solar,64,38.9985661,-75.441644
FL,Florida,2010,Solar,23969,28.3989775,-82.5143005
GA,Georgia,2010,Solar,319,32.6295789,-83.4235109
HI,Hawaii,2010,Solar,1928,19.8281671,-155.4950421
IA,Iowa,2010,Solar,33,42.0700227,-93.4933492
ID,Idaho,2010,Solar,23,44.348422,-114.558854
IL,Illinois,2010,Solar,1158,40.1028754,-89.1526108
IN,Indiana,2010,Solar,131,39.9013136,-86.2919129
KS,Kansas,2010,Solar,26,38.4985464,-98.3834298
KY,Kentucky,2010,Solar,63,37.5336844,-85.2929801
LA,Louisiana,2010,Solar,92,30.708319,-91.6046207
MA,Massachusetts,2010,Solar,399,42.1565196,-71.4895915
MD,Maryland,2010,Solar,137,38.9466584,-76.6744939
ME,Maine,2010,Solar,132,45.4092843,-68.666616
MI,Michigan,2010,Solar,446,44.8441768,-85.6604907
MN,Minnesota,2010,Solar,200,46.3159573,-94.1996043
MO,Missouri,2010,Solar,30,38.3507508,-92.456782
MS,Mississippi,2010,Solar,12,32.6864714,-89.6561377
MT,Montana,2010,Solar,16,47.051177,-109.6348174
NC,North Carolina,2010,Solar,301,35.53971,-79.1308636
ND,North Dakota,2010,Solar,4,47.442174,-100.4608258
NE,Nebraska,2010,Solar,26,41.543305,-99.8118641
NH,New Hampshire,2010,Solar,70,43.6727945,-71.5841886
NJ,New Jersey,2010,Solar,2647,40.1072744,-74.6652012
NM,New Mexico,2010,Solar,247,34.4346844,-106.131618
NV,Nevada,2010,Solar,1770,39.3310928,-116.6151469
NY,New York,2010,Solar,1354,42.9133974,-75.5962723
OH,Ohio,2010,Solar,307,40.4149297,-82.7119975
OK,Oklahoma,2010,Solar,25,35.5900815,-97.4867789
OR,Oregon,2010,Solar,1320,43.9717125,-120.6229578
PA,Pennsylvania,2010,Solar,909,40.9046042,-77.8275233
RI,Rhode Island,2010,Solar,45,41.596485,-71.5264901
SC,South Carolina,2010,Solar,33,33.8741776,-80.8542639
SD,South Dakota,2010,Solar,5,44.4467957,-100.2381762
TN,Tennessee,2010,Solar,33,35.85846,-86.3496339
TX,Texas,2010,Solar,630,31.4347032,-99.2818238
UT,Utah,2010,Solar,61,39.3349925,-111.6563326
VA,Virginia,2010,Solar,481,37.5222512,-78.6681938
VT,Vermont,2010,Solar,90,44.0589536,-72.6710173
WA,Washington,2010,Solar,125,47.4073238,-120.5757999
WI,Wisconsin,2010,Solar,238,44.6309071,-89.7093916
WV,West Virginia,2010,Solar,46,38.6472854,-80.6183274
